"date","store_nbr","item_nbr","units"
2012-01-01,1,1,126
2012-01-01,1,2,90
2012-01-01,2,1,65
2012-01-01,2,2,46
2012-01-02,1,1,170
2012-01-02,1,2,133
2012-01-02,2,1,115
2012-01-02,2,2,72
2012-01-03,1,1,95
2012-01-03,1,2,119
2012-01-03,2,1,69
2012-01-03,2,2,46
2012-01-04,1,1,141
2012-01-04,1,2,121
2012-01-04,2,1,54
2012-01-04,2,2,50
2012-01-05,1,1,125
2012-01-05,1,2,80
2012-01-05,2,1,96
2012-01-05,2,2,32
2012-01-06,1,1,79
2012-01-06,1,2,89
2012-01-06,2,1,55
2012-01-06,2,2,48
2012-01-07,1,1,168
2012-01-07,1,2,163
2012-01-07,2,1,81
2012-01-07,2,2,63
2012-01-08,1,1,179
2012-01-08,1,2,140
2012-01-08,2,1,48
2012-01-08,2,2,42
2012-01-09,1,1,164
2012-01-09,1,2,132
2012-01-09,2,1,54
2012-01-09,2,2,57
2012-01-10,1,1,18
2012-01-10,1,2,115
2012-01-10,2,1,76
2012-01-10,2,2,56
2012-01-11,1,1,50
2012-01-11,1,2,72
2012-01-11,2,1,82
2012-01-11,2,2,35
2012-01-12,1,1,55
2012-01-12,1,2,102
2012-01-12,2,1,76
2012-01-12,2,2,40
2012-01-13,1,1,127
2012-01-13,1,2,114
2012-01-13,2,1,14
2012-01-13,2,2,49
2012-01-14,1,1,138
2012-01-14,1,2,122
2012-01-14,2,1,47
2012-01-14,2,2,78
2012-01-15,1,1,134
2012-01-15,1,2,149
2012-01-15,2,1,67
2012-01-15,2,2,66
2012-01-16,1,1,115
2012-01-16,1,2,101
2012-01-16,2,1,32
2012-01-16,2,2,40
2012-01-17,1,1,138
2012-01-17,1,2,65
2012-01-17,2,1,48
2012-01-17,2,2,45
2012-01-18,1,1,78
2012-01-18,1,2,74
2012-01-18,2,1,32
2012-01-18,2,2,45
2012-01-19,1,1,109
2012-01-19,1,2,76
2012-01-19,2,1,0
2012-01-19,2,2,55
2012-01-20,1,1,108
2012-01-20,1,2,100
2012-01-20,2,1,41
2012-01-20,2,2,50
2012-01-21,1,1,86
2012-01-21,1,2,128
2012-01-21,2,1,82
2012-01-21,2,2,48
2012-01-22,1,1,117
2012-01-22,1,2,151
2012-01-22,2,1,70
2012-01-22,2,2,87
2012-01-23,1,1,116
2012-01-23,1,2,87
2012-01-23,2,1,127
2012-01-23,2,2,60
2012-01-24,1,1,72
2012-01-24,1,2,74
2012-01-24,2,1,21
2012-01-24,2,2,34
2012-01-25,1,1,82
2012-01-25,1,2,78
2012-01-25,2,1,32
2012-01-25,2,2,23
2012-01-26,1,1,85
2012-01-26,1,2,52
2012-01-26,2,1,70
2012-01-26,2,2,41
2012-01-27,1,1,77
2012-01-27,1,2,88
2012-01-27,2,1,41
2012-01-27,2,2,48
2012-01-28,1,1,137
2012-01-28,1,2,110
2012-01-28,2,1,50
2012-01-28,2,2,44
2012-01-29,1,1,110
2012-01-29,1,2,142
2012-01-29,2,1,99
2012-01-29,2,2,67
2012-01-30,1,1,156
2012-01-30,1,2,89
2012-01-30,2,1,91
2012-01-30,2,2,50
2012-01-31,1,1,27
2012-01-31,1,2,83
2012-01-31,2,1,50
2012-01-31,2,2,42
2012-02-01,1,1,126
2012-02-01,1,2,106
2012-02-01,2,1,29
2012-02-01,2,2,54
2012-02-02,1,1,145
2012-02-02,1,2,167
2012-02-02,2,1,163
2012-02-02,2,2,89
2012-02-03,1,1,86
2012-02-03,1,2,82
2012-02-03,2,1,22
2012-02-03,2,2,34
2012-02-04,1,1,116
2012-02-04,1,2,107
2012-02-04,2,1,90
2012-02-04,2,2,54
2012-02-05,1,1,126
2012-02-05,1,2,110
2012-02-05,2,1,46
2012-02-05,2,2,40
2012-02-06,1,1,124
2012-02-06,1,2,132
2012-02-06,2,1,49
2012-02-06,2,2,61
2012-02-07,1,1,99
2012-02-07,1,2,110
2012-02-07,2,1,113
2012-02-07,2,2,57
2012-02-08,1,1,123
2012-02-08,1,2,75
2012-02-08,2,1,41
2012-02-08,2,2,46
2012-02-09,1,1,96
2012-02-09,1,2,92
2012-02-09,2,1,34
2012-02-09,2,2,40
2012-02-10,1,1,128
2012-02-10,1,2,101
2012-02-10,2,1,82
2012-02-10,2,2,41
2012-02-11,1,1,181
2012-02-11,1,2,108
2012-02-11,2,1,99
2012-02-11,2,2,53
2012-02-12,1,1,146
2012-02-12,1,2,151
2012-02-12,2,1,76
2012-02-12,2,2,61
2012-02-13,1,1,146
2012-02-13,1,2,99
2012-02-13,2,1,72
2012-02-13,2,2,61
2012-02-14,1,1,109
2012-02-14,1,2,72
2012-02-14,2,1,24
2012-02-14,2,2,35
2012-02-15,1,1,126
2012-02-15,1,2,110
2012-02-15,2,1,58
2012-02-15,2,2,31
2012-02-16,1,1,97
2012-02-16,1,2,75
2012-02-16,2,1,68
2012-02-16,2,2,30
2012-02-17,1,1,166
2012-02-17,1,2,88
2012-02-17,2,1,61
2012-02-17,2,2,60
2012-02-18,1,1,152
2012-02-18,1,2,106
2012-02-18,2,1,140
2012-02-18,2,2,49
2012-02-19,1,1,128
2012-02-19,1,2,123
2012-02-19,2,1,75
2012-02-19,2,2,49
2012-02-20,1,1,115
2012-02-20,1,2,118
2012-02-20,2,1,33
2012-02-20,2,2,53
2012-02-21,1,1,178
2012-02-21,1,2,87
2012-02-21,2,1,36
2012-02-21,2,2,39
2012-02-22,1,1,128
2012-02-22,1,2,86
2012-02-22,2,1,46
2012-02-22,2,2,48
2012-02-23,1,1,75
2012-02-23,1,2,64
2012-02-23,2,1,62
2012-02-23,2,2,24
2012-02-24,1,1,79
2012-02-24,1,2,85
2012-02-24,2,1,58
2012-02-24,2,2,43
2012-02-25,1,1,122
2012-02-25,1,2,102
2012-02-25,2,1,65
2012-02-25,2,2,59
2012-02-26,1,1,152
2012-02-26,1,2,111
2012-02-26,2,1,110
2012-02-26,2,2,58
2012-02-27,1,1,92
2012-02-27,1,2,80
2012-02-27,2,1,161
2012-02-27,2,2,58
2012-02-28,1,1,128
2012-02-28,1,2,68
2012-02-28,2,1,32
2012-02-28,2,2,29
2012-02-29,1,1,144
2012-02-29,1,2,97
2012-02-29,2,1,41
2012-02-29,2,2,46
2012-03-01,1,1,87
2012-03-01,1,2,74
2012-03-01,2,1,11
2012-03-01,2,2,46
2012-03-02,1,1,123
2012-03-02,1,2,103
2012-03-02,2,1,36
2012-03-02,2,2,57
2012-03-03,1,1,166
2012-03-03,1,2,132
2012-03-03,2,1,78
2012-03-03,2,2,53
2012-03-04,1,1,247
2012-03-04,1,2,108
2012-03-04,2,1,70
2012-03-04,2,2,69
2012-03-05,1,1,142
2012-03-05,1,2,113
2012-03-05,2,1,32
2012-03-05,2,2,49
2012-03-06,1,1,138
2012-03-06,1,2,86
2012-03-06,2,1,22
2012-03-06,2,2,41
2012-03-07,1,1,130
2012-03-07,1,2,92
2012-03-07,2,1,31
2012-03-07,2,2,43
2012-03-08,1,1,105
2012-03-08,1,2,85
2012-03-08,2,1,46
2012-03-08,2,2,48
2012-03-09,1,1,105
2012-03-09,1,2,108
2012-03-09,2,1,29
2012-03-09,2,2,40
2012-03-10,1,1,99
2012-03-10,1,2,126
2012-03-10,2,1,41
2012-03-10,2,2,60
2012-03-11,1,1,145
2012-03-11,1,2,109
2012-03-11,2,1,69
2012-03-11,2,2,64
2012-03-12,1,1,111
2012-03-12,1,2,82
2012-03-12,2,1,18
2012-03-12,2,2,69
2012-03-13,1,1,62
2012-03-13,1,2,81
2012-03-13,2,1,28
2012-03-13,2,2,42
2012-03-14,1,1,74
2012-03-14,1,2,79
2012-03-14,2,1,26
2012-03-14,2,2,42
2012-03-15,1,1,102
2012-03-15,1,2,79
2012-03-15,2,1,45
2012-03-15,2,2,46
2012-03-16,1,1,68
2012-03-16,1,2,82
2012-03-16,2,1,15
2012-03-16,2,2,31
2012-03-17,1,1,112
2012-03-17,1,2,103
2012-03-17,2,1,36
2012-03-17,2,2,53
2012-03-18,1,1,95
2012-03-18,1,2,106
2012-03-18,2,1,31
2012-03-18,2,2,69
2012-03-19,1,1,91
2012-03-19,1,2,101
2012-03-19,2,1,49
2012-03-19,2,2,54
2012-03-20,1,1,60
2012-03-20,1,2,75
2012-03-20,2,1,42
2012-03-20,2,2,53
2012-03-21,1,1,124
2012-03-21,1,2,80
2012-03-21,2,1,15
2012-03-21,2,2,25
2012-03-22,1,1,53
2012-03-22,1,2,73
2012-03-22,2,1,19
2012-03-22,2,2,40
2012-03-23,1,1,69
2012-03-23,1,2,86
2012-03-23,2,1,19
2012-03-23,2,2,55
2012-03-24,1,1,120
2012-03-24,1,2,93
2012-03-24,2,1,18
2012-03-24,2,2,44
2012-03-25,1,1,177
2012-03-25,1,2,132
2012-03-25,2,1,62
2012-03-25,2,2,82
2012-03-26,1,1,113
2012-03-26,1,2,87
2012-03-26,2,1,66
2012-03-26,2,2,60
2012-03-27,1,1,75
2012-03-27,1,2,87
2012-03-27,2,1,6
2012-03-27,2,2,41
2012-03-28,1,1,74
2012-03-28,1,2,58
2012-03-28,2,1,13
2012-03-28,2,2,41
2012-03-29,1,1,97
2012-03-29,1,2,104
2012-03-29,2,1,25
2012-03-29,2,2,25
2012-03-30,1,1,66
2012-03-30,1,2,90
2012-03-30,2,1,29
2012-03-30,2,2,50
2012-03-31,1,1,118
2012-03-31,1,2,102
2012-03-31,2,1,51
2012-03-31,2,2,64
2012-04-01,1,1,140
2012-04-01,1,2,137
2012-04-01,2,1,51
2012-04-01,2,2,73
2012-04-02,1,1,157
2012-04-02,1,2,106
2012-04-02,2,1,66
2012-04-02,2,2,66
2012-04-03,1,1,129
2012-04-03,1,2,109
2012-04-03,2,1,69
2012-04-03,2,2,1
2012-04-04,1,1,73
2012-04-04,1,2,95
2012-04-04,2,1,37
2012-04-04,2,2,42
2012-04-05,1,1,88
2012-04-05,1,2,88
2012-04-05,2,1,29
2012-04-05,2,2,44
2012-04-06,1,1,115
2012-04-06,1,2,115
2012-04-06,2,1,28
2012-04-06,2,2,41
2012-04-07,1,1,149
2012-04-07,1,2,120
2012-04-07,2,1,47
2012-04-07,2,2,80
2012-04-08,1,1,130
2012-04-08,1,2,127
2012-04-08,2,1,34
2012-04-08,2,2,45
2012-04-09,1,1,153
2012-04-09,1,2,100
2012-04-09,2,1,51
2012-04-09,2,2,33
2012-04-10,1,1,70
2012-04-10,1,2,110
2012-04-10,2,1,15
2012-04-10,2,2,56
2012-04-11,1,1,119
2012-04-11,1,2,72
2012-04-11,2,1,33
2012-04-11,2,2,45
2012-04-12,1,1,58
2012-04-12,1,2,87
2012-04-12,2,1,30
2012-04-12,2,2,36
2012-04-13,1,1,100
2012-04-13,1,2,88
2012-04-13,2,1,92
2012-04-13,2,2,49
2012-04-14,1,1,122
2012-04-14,1,2,140
2012-04-14,2,1,50
2012-04-14,2,2,62
2012-04-15,1,1,158
2012-04-15,1,2,102
2012-04-15,2,1,49
2012-04-15,2,2,69
2012-04-16,1,1,111
2012-04-16,1,2,77
2012-04-16,2,1,69
2012-04-16,2,2,68
2012-04-17,1,1,102
2012-04-17,1,2,83
2012-04-17,2,1,30
2012-04-17,2,2,44
2012-04-18,1,1,89
2012-04-18,1,2,82
2012-04-18,2,1,38
2012-04-18,2,2,42
2012-04-19,1,1,43
2012-04-19,1,2,74
2012-04-19,2,1,19
2012-04-19,2,2,41
2012-04-20,1,1,76
2012-04-20,1,2,81
2012-04-20,2,1,55
2012-04-20,2,2,36
2012-04-21,1,1,103
2012-04-21,1,2,113
2012-04-21,2,1,40
2012-04-21,2,2,45
2012-04-22,1,1,103
2012-04-22,1,2,120
2012-04-22,2,1,12
2012-04-22,2,2,61
2012-04-23,1,1,98
2012-04-23,1,2,72
2012-04-23,2,1,29
2012-04-23,2,2,73
2012-04-24,1,1,94
2012-04-24,1,2,83
2012-04-24,2,1,17
2012-04-24,2,2,54
2012-04-25,1,1,88
2012-04-25,1,2,78
2012-04-25,2,1,22
2012-04-25,2,2,42
2012-04-26,1,1,36
2012-04-26,1,2,63
2012-04-26,2,1,11
2012-04-26,2,2,31
2012-04-27,1,1,49
2012-04-27,1,2,102
2012-04-27,2,1,19
2012-04-27,2,2,48
2012-04-28,1,1,91
2012-04-28,1,2,130
2012-04-28,2,1,73
2012-04-28,2,2,41
2012-04-29,1,1,108
2012-04-29,1,2,110
2012-04-29,2,1,58
2012-04-29,2,2,72
2012-04-30,1,1,91
2012-04-30,1,2,61
2012-04-30,2,1,29
2012-04-30,2,2,80
2012-05-01,1,1,154
2012-05-01,1,2,110
2012-05-01,2,1,17
2012-05-01,2,2,54
2012-05-02,1,1,67
2012-05-02,1,2,68
2012-05-02,2,1,13
2012-05-02,2,2,49
2012-05-03,1,1,123
2012-05-03,1,2,107
2012-05-03,2,1,58
2012-05-03,2,2,45
2012-05-04,1,1,90
2012-05-04,1,2,80
2012-05-04,2,1,15
2012-05-04,2,2,45
2012-05-05,1,1,116
2012-05-05,1,2,139
2012-05-05,2,1,15
2012-05-05,2,2,48
2012-05-06,1,1,89
2012-05-06,1,2,113
2012-05-06,2,1,49
2012-05-06,2,2,59
2012-05-07,1,1,113
2012-05-07,1,2,99
2012-05-07,2,1,60
2012-05-07,2,2,58
2012-05-08,1,1,97
2012-05-08,1,2,82
2012-05-08,2,1,18
2012-05-08,2,2,44
2012-05-09,1,1,68
2012-05-09,1,2,85
2012-05-09,2,1,74
2012-05-09,2,2,35
2012-05-10,1,1,102
2012-05-10,1,2,90
2012-05-10,2,1,34
2012-05-10,2,2,38
2012-05-11,1,1,109
2012-05-11,1,2,88
2012-05-11,2,1,16
2012-05-11,2,2,31
2012-05-12,1,1,135
2012-05-12,1,2,112
2012-05-12,2,1,37
2012-05-12,2,2,56
2012-05-13,1,1,105
2012-05-13,1,2,100
2012-05-13,2,1,25
2012-05-13,2,2,64
2012-05-14,1,1,89
2012-05-14,1,2,96
2012-05-14,2,1,43
2012-05-14,2,2,56
2012-05-15,1,1,75
2012-05-15,1,2,89
2012-05-15,2,1,43
2012-05-15,2,2,65
2012-05-16,1,1,80
2012-05-16,1,2,66
2012-05-16,2,1,20
2012-05-16,2,2,34
2012-05-17,1,1,71
2012-05-17,1,2,75
2012-05-17,2,1,21
2012-05-17,2,2,42
2012-05-18,1,1,43
2012-05-18,1,2,75
2012-05-18,2,1,34
2012-05-18,2,2,45
2012-05-19,1,1,105
2012-05-19,1,2,119
2012-05-19,2,1,18
2012-05-19,2,2,56
2012-05-20,1,1,81
2012-05-20,1,2,124
2012-05-20,2,1,35
2012-05-20,2,2,57
2012-05-21,1,1,57
2012-05-21,1,2,95
2012-05-21,2,1,40
2012-05-21,2,2,74
2012-05-22,1,1,54
2012-05-22,1,2,64
2012-05-22,2,1,16
2012-05-22,2,2,56
2012-05-23,1,1,44
2012-05-23,1,2,57
2012-05-23,2,1,31
2012-05-23,2,2,52
2012-05-24,1,1,64
2012-05-24,1,2,93
2012-05-24,2,1,18
2012-05-24,2,2,43
2012-05-25,1,1,63
2012-05-25,1,2,101
2012-05-25,2,1,28
2012-05-25,2,2,44
2012-05-26,1,1,29
2012-05-26,1,2,107
2012-05-26,2,1,14
2012-05-26,2,2,51
2012-05-27,1,1,56
2012-05-27,1,2,86
2012-05-27,2,1,18
2012-05-27,2,2,52
2012-05-28,1,1,61
2012-05-28,1,2,90
2012-05-28,2,1,32
2012-05-28,2,2,63
2012-05-29,1,1,73
2012-05-29,1,2,79
2012-05-29,2,1,35
2012-05-29,2,2,39
2012-05-30,1,1,67
2012-05-30,1,2,53
2012-05-30,2,1,59
2012-05-30,2,2,53
2012-05-31,1,1,59
2012-05-31,1,2,93
2012-05-31,2,1,35
2012-05-31,2,2,37
2012-06-01,1,1,110
2012-06-01,1,2,120
2012-06-01,2,1,19
2012-06-01,2,2,72
2012-06-02,1,1,113
2012-06-02,1,2,132
2012-06-02,2,1,56
2012-06-02,2,2,61
2012-06-03,1,1,86
2012-06-03,1,2,135
2012-06-03,2,1,33
2012-06-03,2,2,69
2012-06-04,1,1,120
2012-06-04,1,2,92
2012-06-04,2,1,65
2012-06-04,2,2,58
2012-06-05,1,1,111
2012-06-05,1,2,92
2012-06-05,2,1,57
2012-06-05,2,2,58
2012-06-06,1,1,124
2012-06-06,1,2,89
2012-06-06,2,1,39
2012-06-06,2,2,30
2012-06-07,1,1,90
2012-06-07,1,2,96
2012-06-07,2,1,68
2012-06-07,2,2,67
2012-06-08,1,1,64
2012-06-08,1,2,118
2012-06-08,2,1,38
2012-06-08,2,2,62
2012-06-09,1,1,85
2012-06-09,1,2,115
2012-06-09,2,1,37
2012-06-09,2,2,69
2012-06-10,1,1,137
2012-06-10,1,2,153
2012-06-10,2,1,30
2012-06-10,2,2,37
2012-06-11,1,1,115
2012-06-11,1,2,90
2012-06-11,2,1,40
2012-06-11,2,2,71
2012-06-12,1,1,58
2012-06-12,1,2,81
2012-06-12,2,1,45
2012-06-12,2,2,63
2012-06-13,1,1,94
2012-06-13,1,2,74
2012-06-13,2,1,37
2012-06-13,2,2,59
2012-06-14,1,1,88
2012-06-14,1,2,72
2012-06-14,2,1,19
2012-06-14,2,2,49
2012-06-15,1,1,143
2012-06-15,1,2,103
2012-06-15,2,1,24
2012-06-15,2,2,46
2012-06-16,1,1,109
2012-06-16,1,2,123
2012-06-16,2,1,31
2012-06-16,2,2,48
2012-06-17,1,1,120
2012-06-17,1,2,116
2012-06-17,2,1,26
2012-06-17,2,2,60
2012-06-18,1,1,109
2012-06-18,1,2,82
2012-06-18,2,1,17
2012-06-18,2,2,77
2012-06-19,1,1,127
2012-06-19,1,2,109
2012-06-19,2,1,9
2012-06-19,2,2,40
2012-06-20,1,1,69
